,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
2568(日興ＮＱヘ無),,,,,,17.66,,,,0.0,,3.67,7.18,131.96,16.46,0.63,72.88,2.21,5,5,4,6,5,8,55/100
2569(日興ＮＱヘ有),,,,,,28.01,,,,0.0,,3.47,4.83,230.54,15.59,0.58,74.05,1.83,5,5,5,6,5,9,58/100
2573(北海コカ),63.59,0.76,1.44,1.2,1.01,31.8,-40.48,-2.73,1.46,0.0,84.5,0.76,1.65,3.54,4.72,0.02,68.42,11.26,1,2,3,7,10,10,55/100
2579(コカＢＪＨ),52.7,0.63,3.26,1.2,0.64,316.21,,-3.32,0.99,0.0,53.39,-3.67,-5.56,854.6,18.96,0.69,34.11,1.1,2,5,9,4,6,10,60/100
2586(フルッタ),,1.96,0.0,0.0,0.0,2.34,,-7.47,0.0,0.0,57.71,-9.34,-20.42,76.12,40.57,0.82,23.68,5.27,1,3,1,7,7,2,35/100
2587(サントリＢＦ),22.14,1.71,1.8,7.74,3.84,1339.52,9.91,-0.78,8.21,0.0,49.66,-2.91,-1.66,2252.66,17.52,0.65,38.6,0.07,5,4,10,5,5,10,65/100
2602(日清オイリオ),13.14,0.69,3.0,5.29,2.64,101.15,-13.27,5.46,3.0,0.0,49.82,-1.04,-2.19,114.41,12.87,0.42,42.5,1.26,5,7,7,3,5,10,62/100
2607(不二製油Ｇ),19.25,1.38,2.06,7.19,3.21,221.38,-4.36,13.6,3.91,2.68,44.64,-5.54,-2.69,520.23,21.08,0.65,27.4,-0.52,8,5,8,4,4,8,62/100
2612(かどや製油),19.08,1.32,1.96,6.91,5.54,38.35,-7.5,-2.29,9.06,0.0,80.13,-0.01,-0.07,4.68,11.69,0.34,60.0,-1.13,3,5,3,4,10,10,58/100
2613(Ｊオイル),17.73,0.62,2.86,3.51,2.11,58.51,-55.25,3.62,1.61,-9.72,60.13,-4.26,-4.67,45.59,15.38,0.35,26.9,0.55,3,7,5,5,7,8,58/100
2620(ｉＳ米債１３),,,,,,4.58,,,,0.0,,0.19,1.77,106.74,5.56,0.07,47.58,0.08,5,5,2,8,5,7,53/100
2621(ｉＳ米２０Ｈ),,,,,,6.8,,,,0.0,,2.15,0.47,84.17,13.93,-0.03,63.78,0.19,5,5,2,7,5,7,52/100
2622(ｉＳ新興債Ｈ),,,,,,4.42,,,,0.0,,0.02,-1.75,0.86,7.31,0.15,52.31,2.98,5,5,1,5,5,8,48/100
2623(ｉＳユＩＧＨ),,,,,,0.06,,,,0.0,,0.17,-0.86,1.16,4.73,0.1,54.41,0.0,5,5,1,7,5,6,48/100
2624(ｉＦＥ２２５),,,,,,40.9,,,,0.0,,1.15,1.85,54.84,17.72,0.96,58.84,0.15,5,5,5,7,5,7,57/100
2625(ｉＦＥＴＰＸ),,,,,,25.11,,,,0.0,,0.29,0.97,48.11,16.48,1.0,53.97,0.1,5,5,4,8,5,5,53/100
2626(ＧＸデジ日株),,,,,,1.8,,,,0.0,,1.12,2.19,15.36,16.78,0.94,56.91,0.59,5,5,1,7,5,4,45/100
2627(ＧＸｅコ日株),,,,,,1.06,,,,0.0,,-1.86,-0.55,28.47,18.45,0.87,37.17,0.05,5,5,1,4,5,6,43/100
2628(ｉＦＥ科創板),,,,,,0.48,,,,0.0,,5.09,3.38,3.11,25.49,-0.05,67.3,1.1,5,5,1,7,5,6,48/100
2629(ｉＦＥＧＢＡ),,,,,,0.33,,,,0.0,,0.56,2.31,1.12,22.5,0.51,47.11,5.39,5,5,1,5,5,6,45/100
2630(ＭＸ米ＳＰ有),,,,,,11.44,,,,0.0,,2.65,4.09,82.05,12.57,0.32,75.38,0.22,5,5,3,7,5,9,57/100
2631(ＭＸナスダク),,,,,,9.06,,,,0.0,,3.72,7.27,363.36,16.77,0.46,71.54,2.26,5,5,3,6,5,9,55/100
2632(ＭＸナスヘ有),,,,,,3.64,,,,0.0,,3.52,4.82,64.59,15.42,0.36,75.0,0.59,5,5,2,7,5,9,55/100
2633(野村ＳＰＨ無),,,,,,3.3,,,,0.0,,3.04,6.56,56.86,14.84,0.42,67.68,3.37,5,5,1,6,5,7,48/100
2634(野村ＳＰＨ有),,,,,,10.23,,,,0.0,,2.67,3.97,122.08,12.99,0.33,76.0,0.07,5,5,3,7,5,8,55/100
2635(野村米ＥＳＧ),,,,,,0.98,,,,0.0,,3.77,7.95,6.36,14.63,0.4,73.13,1.67,5,5,1,6,5,7,48/100
2636(ＧＸガバ日株),,,,,,1.68,,,,0.0,,0.77,1.51,0.85,16.21,0.97,56.44,0.02,5,5,1,9,5,3,47/100
2637(ＧＸクリ日株),,,,,,2.01,,,,0.0,,2.9,2.86,10.85,21.56,1.32,70.34,0.37,5,5,1,7,5,3,43/100
2638(ＧＸロボ日株),,,,,,0.61,,,,0.0,,0.31,-1.05,6.78,22.09,1.38,50.99,0.06,5,5,1,7,5,2,42/100
2639(ＧＸバイ日株),,,,,,0.63,,,,0.0,,-1.56,-3.14,5.3,18.34,0.72,43.24,3.58,5,5,1,6,5,4,43/100
2640(ＧＸゲー日株),,,,,,0.95,,,,0.0,,2.55,5.16,7.99,21.06,1.26,62.0,0.38,5,5,1,7,5,4,45/100
2641(ＧＸリー日株),,,,,,3.37,,,,0.0,,2.18,4.7,6.42,17.44,1.04,71.43,0.92,5,5,1,7,5,4,45/100
2642(ＳＭＴ低炭素),,,,,,1.13,,,,0.0,,0.57,1.88,0.01,16.13,0.72,47.14,,5,5,1,8,5,6,50/100
2643(野村ＥＳＧカ),,,,,,1.39,,,,0.0,,0.69,2.31,2.1,14.96,0.93,60.84,0.71,5,5,1,8,5,4,47/100
2644(ＧＸ半導日株),,,,,,0.78,,,,0.0,,5.9,6.27,46.01,28.09,0.5,79.82,0.91,5,5,1,7,5,5,47/100
2645(ＧＸＬＥ日株),,,,,,0.85,,,,0.0,,2.92,3.06,6.89,17.44,0.5,70.1,0.3,5,5,1,6,5,6,47/100
2646(ＧＸメタ日株),,,,,,0.48,,,,0.0,,-1.79,-1.12,0.96,20.91,0.5,41.32,3.18,5,5,1,5,5,5,43/100
2647(野村米十債),,,,,,0.5,,,,0.0,,0.09,0.09,1.07,,0.5,50.0,,5,5,1,8,5,5,48/100
2648(野村米十債Ｈ),,,,,,0.25,,,,0.0,,-0.07,-0.07,23.12,,0.5,50.0,0.0,5,5,1,5,5,7,47/100
2651(ローソン),38.7,2.24,2.51,5.79,1.14,599.79,24.97,0.85,6.56,0.0,19.6,7.86,7.25,1724.78,21.03,0.53,78.85,-0.87,6,2,9,5,1,10,55/100
2652(まんだらけ),20.99,0.57,0.17,2.71,1.27,4.24,73.88,-0.57,4.41,0.0,46.95,-2.93,-6.0,2.32,23.21,0.46,37.08,11.36,5,7,1,5,5,3,43/100
2653(イオン九州),46.95,1.77,0.74,3.78,0.89,70.42,0.8,28.93,0.71,0.0,23.61,1.05,1.6,5.61,3.15,0.11,71.67,3.08,9,2,4,8,2,6,52/100
2654(アスモ),16.01,1.34,1.81,8.34,5.76,8.36,14.68,-1.14,4.59,0.0,69.03,1.32,2.23,2.45,17.82,0.85,61.54,13.43,5,5,1,7,8,4,50/100
2656(ベクター),-22.14,5.54,0.0,-25.02,-19.16,5.76,,-28.74,-75.0,-8.75,76.57,16.4,27.57,63.87,66.2,0.37,70.59,8.97,1,1,2,5,10,8,45/100
2659(サンエー),19.05,1.08,1.28,5.65,4.14,137.68,13.56,3.1,5.22,0.0,73.26,4.64,5.11,122.54,15.67,0.46,75.56,0.26,6,4,7,5,10,10,70/100
2664(カワチ薬品),9.59,0.55,2.21,5.76,2.99,55.61,-22.29,2.01,3.19,0.92,51.92,0.49,-0.73,168.64,20.64,0.64,56.57,-1.2,4,9,6,6,6,7,63/100
2666(オートＷ),15.94,0.51,0.85,3.17,1.32,1.69,-13.9,-3.89,2.76,0.0,41.69,-0.34,-0.76,3.86,19.42,0.59,50.0,37.07,2,7,1,2,4,5,35/100
2667(イメージワン),161.65,4.29,0.0,2.65,2.22,8.08,,13.33,2.92,0.0,83.81,-9.33,-4.11,239.07,62.98,1.39,31.49,9.43,8,2,3,8,10,1,53/100
2668(タビオ),56.47,1.89,1.84,3.35,1.72,7.4,,-1.81,1.46,0.0,51.41,2.46,4.06,1.5,12.57,-0.09,58.82,19.23,3,2,1,5,6,8,42/100
2669(カネ美食品),37.81,1.22,0.6,3.23,2.49,28.36,186.26,-4.88,1.94,0.0,77.03,0.16,-1.17,7.52,8.82,0.08,60.0,4.18,4,3,3,5,10,10,58/100
2670(ＡＢＣマート),21.91,1.65,3.06,7.55,6.59,458.92,46.6,-1.0,12.25,0.0,87.35,-2.77,-6.3,1579.75,23.76,0.67,44.83,0.04,6,5,9,5,10,10,75/100
2673(夢みつけ隊),43.55,0.62,0.0,1.42,0.92,1.31,-71.43,5.72,8.47,0.0,65.17,0.16,-1.16,5.32,34.92,0.98,53.33,22.22,3,4,1,5,9,3,42/100
2674(ハードオフ),15.13,0.81,4.61,5.39,3.87,10.59,46.73,8.39,5.42,0.0,71.78,-2.07,-2.44,8.29,11.65,0.41,38.55,4.18,8,7,2,4,10,6,62/100
2676(高千穂交易),16.42,0.89,2.82,5.44,3.95,12.64,18.79,2.95,5.07,0.0,72.73,2.89,3.5,10.74,14.25,0.66,82.86,4.41,6,5,2,6,10,7,60/100
2678(アスクル),17.51,2.68,1.95,15.31,4.73,157.57,0.36,3.54,3.23,0.0,30.92,-3.89,-6.05,603.39,31.0,0.99,38.86,0.87,7,6,8,6,2,3,53/100
2681(ゲオＨＤ),25.57,0.7,1.99,2.76,1.18,51.14,-6.15,3.08,1.41,0.0,42.76,-0.77,-0.4,68.56,19.09,0.37,53.01,3.65,4,5,5,4,4,8,50/100
2700(木徳神糧),12.97,0.66,1.37,5.11,1.61,6.23,640.74,-2.75,0.57,0.0,31.51,0.79,1.82,1.05,8.18,-0.01,62.96,8.61,6,7,1,7,2,5,47/100
2702(マクドナルド),32.35,3.88,0.7,11.99,9.01,679.43,5.01,4.66,10.58,0.33,75.15,0.06,-0.57,1830.2,13.27,0.01,51.72,0.19,8,2,10,7,9,10,77/100
2705(大戸屋ＨＤ),23.4,14.01,0.0,59.87,9.22,19.65,,-1.23,1.81,0.0,15.41,-0.51,-2.79,18.21,17.03,0.59,45.37,3.25,8,2,3,4,1,6,40/100
2706(ブロッコリー),88.36,1.18,1.98,1.33,1.18,11.49,-71.97,0.22,4.67,-6.7,88.81,-4.15,-9.38,13.5,18.96,0.64,37.41,20.88,1,3,2,3,10,9,47/100
2708(久世),8.62,0.74,0.0,8.58,1.67,2.59,,-8.6,1.06,0.0,19.49,0.23,-0.88,0.76,16.19,0.1,58.33,3.4,2,9,1,5,1,3,35/100
2715(エレマテック),10.45,0.85,3.96,8.09,4.34,45.99,19.71,-0.42,3.43,0.0,53.71,-2.76,-4.61,39.37,32.4,1.0,44.15,3.84,5,8,5,6,7,2,55/100
2721(ＪＨＤ),,2.74,0.0,0.0,0.0,0.96,,-29.53,0.0,-1.91,78.83,-5.15,-5.51,5.44,34.6,0.63,46.3,8.67,1,2,1,4,10,6,40/100
2722(アイケイ),18.73,1.16,2.42,6.21,3.04,4.12,-36.44,1.64,2.53,-6.87,49.05,-6.52,-15.47,32.34,25.48,1.13,17.74,4.97,3,8,1,5,5,1,38/100
2726(パルＨＤ),19.48,1.71,3.05,8.79,3.6,75.98,574.9,0.75,5.42,-0.22,41.0,-0.46,-1.99,156.27,28.18,0.5,60.66,1.47,9,5,7,5,4,5,58/100
2729(ＪＡＬＵＸ),325.93,1.39,0.0,0.43,0.19,32.6,,-16.34,0.2,0.0,44.89,34.89,43.32,68.22,66.8,1.19,96.39,1.58,1,1,5,5,5,8,42/100
2730(エディオン),9.5,0.61,4.15,6.45,3.24,118.73,-24.49,-0.11,2.94,-7.42,50.19,-1.81,-1.7,459.92,17.16,0.44,45.83,0.21,3,9,8,4,6,9,65/100
2733(あらた),8.41,0.8,2.98,9.56,3.41,73.19,7.45,3.49,1.56,2.01,35.63,-0.77,-5.43,90.64,25.8,0.74,51.47,0.51,7,9,6,4,3,5,57/100
2734(サーラ),9.03,0.67,3.58,7.45,2.39,40.62,-4.85,1.8,3.18,0.0,32.14,-0.98,-0.95,48.81,22.02,0.52,50.48,-1.76,5,9,5,4,2,4,48/100
2735(ワッツ),20.55,0.93,2.0,4.54,2.39,10.48,-39.79,5.62,1.59,0.0,52.59,-3.59,-12.44,34.16,25.42,0.36,49.58,-0.46,4,7,2,6,7,3,48/100
2736(フェスタリア),7.33,1.82,1.36,24.84,3.38,1.76,10.82,-3.12,4.67,0.0,13.6,-0.08,-4.56,1.42,25.6,0.05,43.1,13.62,6,9,1,4,1,2,38/100
2737(トーメンデバ),8.67,1.35,3.77,15.54,4.17,43.33,45.36,22.59,1.66,17.79,26.83,14.55,21.95,178.69,52.29,1.07,72.01,2.93,10,6,6,6,2,3,55/100
2742(ハローズ),11.9,1.33,1.32,11.16,5.42,58.53,-3.72,7.23,4.66,0.0,48.53,-2.23,-5.72,69.18,24.97,0.8,47.92,1.97,8,8,6,4,5,5,60/100
2743(ピクセル),-2.75,1.8,0.0,-65.6,-16.16,1.92,,-5.03,-15.0,-0.36,24.62,-17.17,-26.6,117.66,121.12,0.57,47.06,0.45,1,2,1,10,2,1,28/100
2747(北雄ラッキー),16.39,0.84,1.48,5.13,1.43,4.26,-11.95,-1.55,1.04,0.0,27.88,1.43,2.97,1.0,9.23,0.49,58.33,33.33,3,5,1,7,2,6,40/100
2749(ＪＰＨＤ),15.57,2.26,1.75,14.49,4.88,22.58,-21.95,4.79,6.82,0.06,33.65,0.23,-4.56,83.79,31.12,0.57,57.14,3.37,7,6,4,7,3,1,47/100
2750(石光商事),9.2,0.5,2.01,5.46,1.91,4.77,3.23,4.85,1.95,0.0,34.96,3.31,10.46,6.68,24.99,0.23,56.45,9.9,6,8,1,5,3,3,43/100
2751(テンポスＨＤ),21.77,3.26,0.44,14.95,8.74,32.18,61.46,0.0,7.79,0.0,58.48,0.71,2.06,11.52,13.83,0.29,58.87,5.0,8,3,4,7,8,9,65/100
2752(フジオフード),76.31,17.19,0.18,22.53,3.29,61.18,,-8.42,7.04,0.0,14.59,-0.14,0.67,67.08,22.23,0.34,48.63,-11.78,4,1,6,6,1,7,42/100
2753(あみやき亭),82.19,1.04,0.67,1.27,1.01,20.55,,-2.79,1.24,0.0,79.94,-1.15,1.88,31.53,15.08,0.56,43.49,0.8,2,2,3,5,10,10,53/100
2754(東葛ＨＤ),7.68,0.43,2.45,5.64,3.8,1.97,2.01,-2.41,5.61,0.0,67.35,-2.46,-4.38,0.4,18.64,0.27,40.68,8.48,3,10,1,4,9,5,53/100
2760(東エレデバ),14.66,2.63,2.81,17.95,5.72,76.25,34.05,7.07,3.6,2.9,31.88,0.56,9.69,1655.98,63.82,1.67,52.5,1.09,9,3,8,9,3,3,58/100
2761(トシンＧ),51.1,2.12,0.81,4.14,3.55,78.7,5.46,-2.11,5.81,0.0,85.62,-1.03,2.26,0.4,14.3,0.21,25.0,,3,2,3,5,10,10,55/100
2762(ＳＡＮＫＯ),,9.1,0.0,0.0,0.0,4.37,,-29.54,0.0,-1.58,21.99,-2.36,0.09,2.11,23.15,-0.03,41.18,13.34,1,1,1,4,1,5,22/100
2763(エフティ),10.85,2.46,5.16,22.66,8.87,39.07,8.15,-1.89,13.95,0.0,39.16,-2.19,-4.92,8.81,9.05,0.39,29.58,8.16,6,7,4,4,4,6,52/100
2764(ひらまつ),-30.54,4.92,0.0,-16.14,-2.58,15.25,,-1.7,-5.26,0.0,15.99,-4.57,-1.23,57.52,43.16,1.07,25.0,5.65,2,1,3,6,1,1,23/100
2767(フィールズ),36.29,0.61,1.91,1.68,0.95,18.15,,8.77,1.72,0.0,56.91,0.45,1.32,36.26,31.37,0.7,59.14,9.64,7,4,3,7,8,3,53/100
2768(双日),6.04,0.68,4.86,11.31,3.04,422.51,87.07,,4.12,0.0,26.92,-9.66,-3.77,3176.89,32.32,0.82,21.55,1.16,5,10,9,8,2,2,60/100
2769(ヴィレッジＶ),170.13,1.1,0.0,0.65,0.2,8.51,108.33,-4.92,0.34,0.0,31.34,-0.64,0.99,11.81,7.22,0.03,29.41,4.01,3,2,2,5,2,7,35/100
2773(ミュチュアル),16.7,0.59,3.12,3.53,2.37,6.11,-47.88,-6.32,7.52,0.0,67.13,-3.33,-6.11,2.63,11.47,0.28,30.95,14.23,1,8,1,4,8,6,47/100
2776(新都ＨＤ),44.3,3.07,0.0,6.91,2.96,1.82,,11.38,1.39,0.0,42.75,5.49,2.52,5.26,45.91,1.39,72.73,25.32,8,2,1,6,5,1,38/100
2777(カッシーナ),8.2,0.72,3.56,8.74,4.27,3.44,-1.7,-1.04,6.25,0.0,48.89,-0.62,-0.26,0.62,17.28,0.33,52.27,39.41,4,9,1,2,6,6,47/100
2778(パレモ・ＨＤ),-5.75,1.14,0.0,-19.77,-3.5,2.01,,-7.08,0.27,0.0,17.71,0.29,-12.21,22.87,44.34,0.81,57.89,11.75,1,2,1,7,1,1,22/100
2780(コメ兵ＨＤ),11.93,0.96,1.54,8.06,3.93,17.54,389.56,7.99,3.34,0.0,48.79,-17.66,-9.16,290.38,68.25,1.11,20.17,2.11,10,9,4,9,5,1,63/100
2782(セリア),17.95,3.16,1.97,17.6,13.0,269.23,3.01,7.71,10.33,0.0,73.84,-5.58,-9.94,898.31,24.03,0.22,30.6,0.66,9,6,9,7,10,8,82/100
2784(アルフレッサ),22.86,0.79,3.26,3.47,1.29,388.72,-20.11,-0.78,0.99,0.0,37.2,1.06,-2.57,895.59,26.68,1.01,52.2,0.29,2,6,9,7,3,6,55/100
2788(アップル),14.18,0.59,1.92,4.19,1.9,3.6,-26.15,-1.25,2.08,0.0,45.32,-7.26,-14.68,38.77,33.91,1.12,32.65,9.88,2,9,1,7,5,1,42/100
2789(カルラ),,1.37,,,,2.52,,,,0.0,32.27,-0.33,-0.53,1.61,8.85,0.23,55.56,6.05,5,5,1,3,2,4,33/100
2790(ナフコ),6.26,0.34,3.25,5.37,3.47,51.35,-24.41,-2.24,6.89,0.0,64.71,-2.44,-4.67,46.49,17.83,0.72,42.44,0.59,2,10,5,5,9,7,63/100
2791(大黒天),19.84,2.3,0.44,11.6,6.35,95.24,-9.37,6.77,3.59,0.0,54.72,1.04,-0.88,103.98,29.28,0.49,59.69,1.52,7,4,7,6,7,9,67/100
2792(ハニーズＨＤ),10.62,0.86,3.17,8.12,6.72,30.8,13.32,-1.63,9.57,0.0,82.73,4.75,0.76,114.53,20.98,0.3,70.9,3.0,5,7,5,7,10,8,70/100
2795(プリメックス),13.29,0.67,2.67,5.01,3.82,4.13,14.36,-1.16,7.79,0.0,76.26,0.66,0.25,0.13,17.9,0.05,58.67,18.67,4,7,1,7,10,6,58/100
2796(ファマライズ),17.58,1.28,1.76,7.28,1.77,7.7,12.11,0.97,2.71,0.0,24.32,-0.72,1.48,4.91,16.01,0.45,39.24,-3.41,6,5,1,6,2,2,37/100
2798(Ｙｓテーブル),13.92,-5.65,0.0,,9.37,5.69,,-12.56,4.37,-2.83,-23.09,1.96,1.42,1.47,17.22,0.01,68.1,0.63,5,2,1,7,1,5,35/100
2801(キッコマン),49.8,5.88,0.48,11.81,8.3,1812.81,18.77,2.98,10.39,7.3,70.27,1.58,9.82,4025.92,29.98,1.16,55.22,-0.29,8,1,10,7,8,9,72/100
2802(味の素),28.69,3.15,1.35,10.96,4.75,1951.18,1.71,1.04,8.71,11.5,43.34,4.95,9.17,6725.16,24.8,0.57,63.73,0.14,6,2,10,7,3,10,63/100
2804(ブルドック),37.63,1.45,1.64,3.85,2.95,29.72,14.72,-6.99,8.37,0.0,76.65,-5.39,-3.06,41.69,28.03,0.43,31.46,-7.33,2,3,4,5,9,9,53/100
2805(エスビー),10.71,1.11,1.14,10.34,4.55,61.05,-13.67,-6.84,6.98,0.0,43.97,-1.27,-3.83,14.5,8.83,0.23,40.0,8.34,2,8,5,3,3,9,50/100
2806(ユタカフーズ),16.98,0.81,2.12,4.78,4.11,16.64,-5.47,-10.38,9.33,0.0,85.9,-0.34,-0.48,1.31,8.56,-0.06,52.08,0.58,1,6,2,3,10,10,53/100
2809(キユーピー),22.9,1.47,1.81,6.43,3.41,352.62,-1.34,-10.35,6.98,0.0,53.03,-0.88,-3.83,651.62,17.3,0.39,47.91,0.2,1,5,9,5,6,10,60/100
2810(ハウス食Ｇ),20.66,1.18,1.53,5.69,3.98,303.76,12.01,-4.76,8.67,0.0,69.93,-7.94,-11.89,478.18,21.98,0.45,23.81,0.29,3,7,9,7,8,9,72/100
2811(カゴメ),31.01,2.51,1.25,8.11,4.0,279.04,28.48,0.62,7.26,0.0,49.34,2.3,1.44,504.88,15.21,0.49,68.56,0.13,6,2,9,6,5,10,63/100
2812(焼津水化),15.15,0.66,2.43,4.39,3.79,12.87,10.5,-9.93,6.67,0.0,86.39,-0.26,-0.16,3.47,12.46,0.33,47.06,0.85,1,7,2,4,10,9,55/100
2813(和弘食品),13.91,0.72,1.88,5.21,2.23,2.53,,1.54,1.97,0.0,42.75,1.45,1.93,0.55,17.16,0.27,59.78,7.64,5,7,1,7,3,5,47/100
2814(佐藤食品),30.19,0.81,1.88,2.69,2.46,14.91,-23.11,-7.2,11.15,0.0,91.49,1.19,1.15,0.74,13.06,0.12,65.38,2.97,1,3,1,7,10,9,52/100
2815(アリアケ),27.26,2.25,1.14,8.25,7.25,220.8,10.54,-1.21,21.73,0.0,87.93,-6.72,-0.18,383.61,25.48,0.57,31.25,-0.06,5,3,8,6,10,10,70/100
2816(ダイショー),24.0,1.6,1.3,6.65,3.77,13.68,8.83,2.59,4.05,0.0,56.73,-0.25,-0.64,2.97,8.01,0.17,56.25,2.95,6,3,2,4,6,8,48/100
2818(ピエトロ),29.16,1.96,1.36,6.74,4.04,11.08,9.57,-2.83,7.11,0.0,60.03,-0.58,-0.15,2.94,9.28,0.35,35.0,1.09,4,3,2,4,7,9,48/100
2819(エバラ食品),12.85,0.95,1.55,7.38,4.95,25.65,-23.6,-5.81,6.7,0.0,67.12,-1.75,-4.65,7.36,10.57,0.58,36.73,1.22,2,8,3,4,8,9,57/100
2820(やまみ),21.69,2.01,1.25,9.25,4.91,14.53,39.41,6.7,7.9,0.0,53.1,-0.21,3.87,9.96,23.97,0.21,47.38,9.88,9,3,2,3,6,8,52/100
2830(アヲハタ),30.79,1.72,0.77,5.6,3.73,21.55,32.2,-0.97,4.7,0.0,66.54,0.91,1.9,8.55,6.59,-0.03,67.39,4.55,5,2,3,8,8,9,58/100
2831(はごろも),15.49,1.0,1.59,6.47,3.69,32.52,-30.95,-4.98,3.97,0.0,57.04,-0.18,-0.73,1.61,13.74,0.16,46.0,7.46,1,6,3,4,7,10,52/100
2871(ニチレイ),15.77,1.75,1.89,11.07,5.55,354.85,-0.1,1.15,5.58,0.0,50.11,-5.8,-6.34,1160.51,20.43,0.24,35.34,0.0,6,6,9,5,5,9,67/100
2872(セイヒョー),25.6,1.32,1.56,5.16,2.62,1.38,22.81,-1.94,1.84,0.0,50.75,0.21,-1.94,0.56,14.06,0.08,53.12,6.81,4,4,1,5,5,9,47/100
2874(ヨコレイ),21.59,0.67,2.63,3.09,1.33,51.8,2.67,-13.41,3.42,0.0,43.16,-0.59,-2.56,61.4,16.21,0.51,50.0,0.6,1,6,5,3,5,9,48/100
2875(東洋水),21.38,1.61,1.87,7.54,5.87,534.45,-13.43,-3.38,9.31,0.0,77.79,-0.56,2.46,1760.96,27.4,0.29,52.2,0.01,2,3,9,7,9,10,67/100
2876(デルソーレ),15.69,0.87,2.32,5.54,2.81,4.71,-10.28,-3.02,3.44,0.0,50.85,1.3,-2.85,0.7,33.11,0.54,69.23,7.31,2,7,1,7,5,2,40/100
2877(日東ベスト),12.09,0.67,1.5,5.55,2.12,9.67,31.87,0.17,2.29,0.0,38.21,-1.25,-3.27,0.53,16.66,-0.08,24.59,8.07,5,8,1,4,3,3,40/100
2882(イートアンド),56.0,3.07,0.47,5.49,1.91,21.84,255.26,2.96,3.41,0.0,34.79,-2.18,-1.2,67.58,33.32,0.35,48.82,1.36,8,2,4,5,2,5,43/100
2883(大冷),17.05,1.4,2.86,8.19,6.24,11.54,-0.79,-3.89,4.17,0.0,76.14,-0.16,-2.26,4.58,7.53,0.22,60.87,0.34,3,6,2,5,9,9,57/100
2884(ヨシムラＨＤ),52.85,3.99,0.0,7.55,1.46,18.29,7.85,9.19,2.65,0.0,19.38,2.16,1.63,52.75,28.72,0.92,62.03,2.1,8,1,3,6,1,2,35/100
2892(日食品),12.55,0.57,3.68,4.52,2.48,11.3,-28.27,1.49,2.45,0.0,55.01,0.74,-1.13,1.09,18.44,-0.05,55.8,47.61,3,8,1,4,6,7,48/100
2894(石井食),,1.71,1.22,0.0,0.0,4.52,,-3.17,0.57,0.0,40.95,1.15,0.74,2.08,9.47,0.15,62.5,17.98,2,1,1,7,3,5,32/100
2897(日清食ＨＤ),30.38,2.45,1.46,8.07,4.67,941.79,-27.09,6.2,7.59,0.0,57.87,1.51,3.23,1815.79,18.86,0.17,54.81,0.07,6,2,10,7,7,10,70/100
2899(永谷園ＨＤ),16.89,1.31,1.53,7.74,2.7,38.85,11.6,-4.18,5.54,0.0,34.86,-2.36,-4.18,41.62,14.66,0.61,40.16,0.49,3,6,5,5,3,7,48/100
2901(石垣食),-34.55,38.38,0.0,-111.11,-4.62,1.73,,2.21,-1.72,0.0,4.16,-2.96,-4.77,2.44,14.65,0.22,33.33,8.68,2,1,1,5,1,5,25/100
2902(太陽化),11.18,0.98,3.62,8.73,6.81,40.23,10.38,-0.1,13.0,0.0,78.03,-2.03,-1.63,3.78,14.26,0.3,40.99,,5,7,3,3,9,9,60/100
2903(シノブフズ),9.54,0.67,3.01,7.06,3.1,8.96,21.62,-0.86,2.83,0.0,43.89,0.22,2.74,4.17,37.15,0.21,36.67,14.52,5,8,1,8,3,1,43/100
2904(一正蒲鉾),17.73,1.24,1.32,6.99,4.28,16.84,-22.48,-1.5,4.12,0.0,61.15,-0.92,-1.85,9.22,9.25,0.26,41.67,4.64,3,5,2,3,7,8,47/100
2905(オーケー食),-7.98,1.86,0.0,-23.3,-4.63,3.83,,-3.36,-5.12,0.0,19.88,-1.86,-6.27,0.75,19.33,-0.07,45.28,169.67,1,1,1,4,1,6,23/100
2907(あじかん),21.79,0.49,1.77,2.27,1.26,6.54,-52.15,0.52,0.89,0.0,55.71,-0.16,-0.85,1.15,10.47,0.26,52.27,1.04,2,6,1,3,6,8,43/100
2908(フジッコ),23.56,0.93,2.39,3.95,3.29,65.96,-12.97,-4.31,7.32,0.0,83.21,-1.45,-1.72,58.4,9.69,0.28,37.9,-0.46,2,5,6,3,10,10,60/100
2910(Ｒフィールド),46.37,1.65,1.16,3.55,2.83,46.37,17.62,-3.52,3.27,1.67,79.81,-0.17,6.08,258.44,23.92,0.71,43.67,-0.21,3,2,6,5,10,10,60/100
2911(旭松食品),16.59,0.57,1.58,3.44,2.52,4.15,-12.37,-1.49,4.0,0.0,73.28,-0.0,0.18,1.02,7.75,0.16,53.33,5.2,2,7,1,4,9,9,53/100
2914(ＪＴ),14.0,1.83,6.06,13.08,6.13,4620.0,0.46,1.03,18.51,4.52,46.88,1.28,4.88,11462.43,18.51,0.5,54.98,0.6,6,4,10,7,4,9,67/100
