,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
1820(西松建),13.37,0.93,6.42,6.94,3.03,191.23,-1.67,-0.9,6.29,0.0,43.6,1.59,-0.89,1457.42,24.49,0.4,57.42,1.54,4,7,9,5,4,9,63/100
1821(三井住友建),-7.45,0.65,4.85,-8.79,-2.39,67.02,-182.68,-2.86,-2.63,-61.64,27.18,-16.02,-15.41,241.33,33.05,0.78,15.52,2.75,1,3,7,9,2,2,40/100
1822(大豊建),12.36,0.95,2.93,7.65,3.28,69.22,-8.7,2.04,5.38,0.0,42.82,-1.39,-4.81,231.75,19.07,0.21,38.71,0.5,5,8,7,4,4,9,62/100
1826(佐田建),13.69,0.52,2.68,3.82,2.18,7.53,-11.15,3.21,2.89,0.0,57.13,0.11,0.82,6.32,18.62,0.31,50.0,36.68,4,7,1,7,7,4,50/100
1827(ナカノフドー),-11.49,0.32,4.2,-2.79,-1.18,11.49,-94.5,-4.43,0.1,0.0,42.49,-3.48,-8.39,4.89,23.32,0.68,34.0,27.52,1,4,2,3,4,5,32/100
1828(田辺工業),6.03,0.54,3.0,8.98,4.8,9.64,-14.3,1.32,6.03,0.0,53.49,-0.38,0.38,2.64,8.59,0.56,31.25,43.23,5,10,1,4,6,4,50/100
1832(北海電工),18.47,0.56,1.44,3.02,1.91,14.41,32.32,8.67,1.86,0.0,63.19,0.31,1.39,0.39,29.72,0.02,50.0,,8,6,1,8,8,2,55/100
1833(奥村組),12.71,0.69,4.24,5.44,2.8,116.93,-24.22,1.53,4.85,0.0,51.41,-0.92,-2.5,165.61,20.98,0.75,50.82,0.1,4,8,7,4,5,9,62/100
1835(東鉄工),16.99,0.89,3.61,5.24,3.53,84.94,-52.42,-4.11,5.76,-18.4,67.34,-5.61,-4.51,136.01,20.37,0.6,33.25,0.16,1,7,7,5,9,10,65/100
1840(土屋ＨＤ),14.14,0.43,3.12,3.05,1.8,4.95,,7.12,1.97,6.97,58.9,-6.89,0.29,16.72,47.84,0.57,26.09,7.23,7,8,1,7,8,1,53/100
1841(サンユ),27.38,0.32,2.81,1.18,0.98,3.56,13.92,-12.87,2.22,0.0,83.11,0.3,0.71,0.12,12.85,0.11,57.58,95.59,1,6,1,5,10,9,53/100
1844(大盛工業),11.9,0.67,2.6,5.67,2.71,2.86,-0.96,-1.93,5.55,0.0,47.8,-1.11,-2.76,5.77,13.95,0.35,40.0,4.77,3,8,1,3,5,5,42/100
1847(イチケン),4.73,0.57,4.68,12.04,5.48,14.01,-8.2,-3.19,5.05,0.0,45.52,-0.26,-0.41,14.56,14.27,0.48,46.63,15.95,3,10,2,2,4,8,48/100
