,0
0,1301
1,1301
2,1305
3,1305
4,1306
5,1306
6,1308
7,1308
8,1309
9,1309
10,1311
11,1311
12,1312
13,1312
14,1313
15,1313
16,1319
17,1319
18,1320
19,1320
20,1321
21,1321
22,1322
23,1322
24,1323
25,1323
26,1324
27,1324
28,1325
29,1325
30,1326
31,1326
32,1328
33,1328
34,1329
35,1329
36,1330
37,1330
38,1332
39,1332
40,1333
41,1333
42,1343
43,1343
44,1345
45,1345
46,1346
47,1346
48,1348
49,1348
50,1349
51,1349
52,1352
53,1352
54,1356
55,1356
56,1357
57,1357
58,1358
59,1358
60,1360
61,1360
62,1364
63,1364
64,1365
65,1365
66,1366
67,1366
68,1367
69,1367
70,1368
71,1368
72,1369
73,1369
74,1375
75,1375
76,1376
77,1376
78,1377
79,1377
80,1379
81,1379
82,1380
83,1380
84,1381
85,1381
86,1382
87,1382
88,1383
89,1383
90,1384
91,1384
92,1385
93,1385
94,1386
95,1386
96,1387
97,1387
98,1388
99,1388
100,1400
101,1400
102,1401
103,1401
104,1407
105,1407
106,1413
107,1413
108,1414
109,1414
110,1417
111,1417
112,1418
113,1418
114,1419
115,1419
116,1420
117,1420
118,1429
119,1429
120,1430
121,1430
122,1431
123,1431
124,1433
125,1433
126,1434
127,1434
128,1435
129,1435
130,1436
131,1436
132,1438
133,1438
134,1439
135,1439
136,1443
137,1443
138,1444
139,1444
140,1446
141,1446
142,1447
143,1447
144,1448
145,1448
146,1449
147,1449
148,1450
149,1450
150,1451
151,1451
152,1456
153,1456
154,1457
155,1457
156,1458
157,1458
158,1459
159,1459
160,1464
161,1464
162,1465
163,1465
164,1466
165,1466
166,1467
167,1467
168,1468
169,1468
170,1469
171,1469
172,1471
173,1471
174,1472
175,1472
176,1473
177,1473
178,1474
179,1474
180,1475
181,1475
182,1476
183,1476
184,1477
185,1477
186,1478
187,1478
188,1479
189,1479
190,1480
191,1480
192,1481
193,1481
194,1482
195,1482
196,1483
197,1483
198,1484
199,1484
200,1514
201,1514
202,1515
203,1515
204,1518
205,1518
206,1540
207,1540
208,1541
209,1541
210,1542
211,1542
212,1543
213,1543
214,1545
215,1545
216,1546
217,1546
218,1547
219,1547
220,1550
221,1550
222,1551
223,1551
224,1552
225,1552
226,1554
227,1554
228,1555
229,1555
230,1557
231,1557
232,1559
233,1559
234,1560
235,1560
236,1563
237,1563
238,1566
239,1566
240,1568
241,1568
242,1569
243,1569
244,1570
245,1570
246,1571
247,1571
248,1572
249,1572
250,1573
251,1573
252,1575
253,1575
254,1577
255,1577
256,1578
257,1578
258,1579
259,1579
260,1580
261,1580
262,1584
263,1584
264,1585
265,1585
266,1586
267,1586
268,1591
269,1591
270,1592
271,1592
272,1593
273,1593
274,1595
275,1595
276,1596
277,1596
278,1597
279,1597
280,1599
281,1599
282,1605
283,1605
284,1615
285,1615
286,1617
287,1617
288,1618
289,1618
290,1619
291,1619
292,1620
293,1620
294,1621
295,1621
296,1622
297,1622
298,1623
299,1623
300,1624
301,1624
302,1625
303,1625
304,1626
305,1626
306,1627
307,1627
308,1628
309,1628
310,1629
311,1629
312,1630
313,1630
314,1631
315,1631
316,1632
317,1632
318,1633
319,1633
320,1651
321,1651
322,1652
323,1652
324,1653
325,1653
326,1654
327,1654
328,1655
329,1655
330,1656
331,1656
332,1657
333,1657
334,1658
335,1658
